game_id,game_date,team_name,player_name,period,minutes_remaining,seconds_remaining,action_type,shot_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_attempted_flag,shot_made_flag,htm,vtm,shot_category,made_label
42500121,20260418,New York Knicks,Mikal Bridges,1,11,41,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-156,201,1,0,NYK,ATL,Jump Shot,Missed
42500121,20260418,New York Knicks,Mikal Bridges,1,11,9,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-11,110,1,1,NYK,ATL,Fadeaway,Made
42500121,20260418,New York Knicks,Jalen Brunson,1,10,31,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-10,26,1,1,NYK,ATL,Layup,Made
42500121,20260418,New York Knicks,Jalen Brunson,1,10,0,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,195,167,1,1,NYK,ATL,Jump Shot,Made
42500121,20260418,New York Knicks,OG Anunoby,1,9,27,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,28,1,0,NYK,ATL,Layup,Missed
42500121,20260418,New York Knicks,Jalen Brunson,1,8,31,Fadeaway Bank shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-71,95,1,1,NYK,ATL,Fadeaway,Made
42500121,20260418,New York Knicks,Jalen Brunson,1,8,5,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,138,226,1,1,NYK,ATL,Pull-Up / Step Back,Made
42500121,20260418,New York Knicks,Jalen Brunson,1,7,36,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,129,116,1,1,NYK,ATL,Fadeaway,Made
42500121,20260418,New York Knicks,Mikal Bridges,1,7,12,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,229,-1,1,1,NYK,ATL,Jump Shot,Made
42500121,20260418,New York Knicks,Mikal Bridges,1,6,39,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,23,1,1,NYK,ATL,Layup,Made
42500121,20260418,New York Knicks,Jalen Brunson,1,6,7,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-147,216,1,1,NYK,ATL,Pull-Up / Step Back,Made
42500121,20260418,New York Knicks,Karl-Anthony Towns,1,5,6,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-27,26,1,0,NYK,ATL,Layup,Missed
42500121,20260418,New York Knicks,Jalen Brunson,1,4,1,Running Pull-Up Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,37,7,1,0,NYK,ATL,Pull-Up / Step Back,Missed
42500121,20260418,New York Knicks,Jalen Brunson,1,3,27,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-34,115,1,0,NYK,ATL,Fadeaway,Missed
42500121,20260418,New York Knicks,Miles McBride,1,2,51,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-173,205,1,0,NYK,ATL,Pull-Up / Step Back,Missed
42500121,20260418,New York Knicks,OG Anunoby,1,1,59,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-44,49,1,1,NYK,ATL,Pull-Up / Step Back,Made
42500121,20260418,New York Knicks,Jalen Brunson,1,1,24,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,4,1,1,NYK,ATL,Layup,Made
